GPA,GMAT,Decision
2.96,596,1
3.14,473,1
3.22,482,1
3.29,527,1
3.69,505,1
3.46,693,1
3.03,626,1
3.19,663,1
3.63,447,1
3.59,588,1
3.3,563,1
3.4,553,1
3.5,572,1
3.78,591,1
3.44,692,1
3.48,528,1
3.47,552,1
3.35,520,1
3.39,543,1
3.28,523,1
3.21,530,1
3.58,564,1
3.33,565,1
3.4,431,1
3.38,605,1
3.26,664,1
3.6,609,1
3.37,559,1
3.8,521,1
3.76,646,1
3.24,467,1
2.54,446,0
2.43,425,0
2.2,474,0
2.36,531,0
2.57,542,0
2.35,406,0
2.51,412,0
2.51,458,0
2.36,399,0
2.36,482,0
2.66,420,0
2.68,414,0
2.48,533,0
2.46,509,0
2.63,504,0
2.44,336,0
2.13,408,0
2.41,469,0
2.55,538,0
2.31,505,0
2.41,489,0
2.19,411,0
2.35,321,0
2.6,394,0
2.55,528,0
2.72,399,0
2.85,381,0
2.9,384,0
